industry-coal,industry-natural_gas,industry-oil,other-oil,transport-natural_gas,transport-oil
2786.55,929.62,646.39,1469.74,257.43,4345.31
2686.66,948.71,652.27,1461.34,270.24,4282.1
2749.1,996.62,643.44,1424.42,263.31,4126.75
2338.0,1060.97,735.6,1493.75,278.27,4339.24
2679.91,1032.17,646.71,1470.93,277.98,4277.04
2951.98,1018.22,737.23,1655.51,302.32,4874.15
2326.14,1050.86,620.4,1567.14,278.39,4498.69
2245.0,1050.8,617.01,1518.38,279.44,4419.97
2918.71,1217.01,721.15,1658.46,316.94,4775.24
2887.78,1073.87,620.86,1535.41,287.73,4445.46
2887.59,1139.01,630.54,1569.8,301.5,4513.58
2967.84,1167.44,600.55,1532.96,315.54,4400.5
2897.14,1174.96,663.6,1573.43,323.73,4457.18
2705.15,1214.39,613.97,1518.03,325.82,4276.07
2846.97,1216.3,583.77,1485.17,331.59,4195.78
2626.57,1199.96,588.82,1519.26,348.15,4273.77
2891.87,1215.19,625.1,1608.96,357.06,4576.5
2512.21,1278.45,640.52,1692.02,379.4,4803.72
2686.55,1250.63,692.68,1654.3,374.48,4618.5
2694.83,1191.63,686.4,1521.51,374.76,4290.95
2911.27,1456.25,740.97,1719.41,416.51,4792.54
2735.76,1357.31,713.34,1667.04,376.23,4658.34
2714.66,1457.22,728.43,1695.39,429.04,4717.23
2744.27,1485.64,775.6,1647.1,429.55,4579.4
2578.7,1504.08,855.01,1626.11,436.78,4382.93
2890.56,1531.61,785.02,1671.46,446.97,4455.1
2748.06,1527.98,783.16,1620.52,433.51,4317.14
2555.55,1449.38,732.88,1608.42,399.86,4243.6
2147.3,1327.13,647.53,1605.59,344.33,4318.44
2244.15,1463.9,781.57,1845.22,438.94,4966.34
2114.92,1536.12,882.47,1731.03,481.9,4570.87
2162.92,1524.07,839.54,1694.32,466.44,4518.19
2302.61,1587.35,871.77,1850.38,503.18,4834.59
2385.17,1556.78,929.04,1764.79,453.7,4548.07
2528.4,1647.63,1080.22,1850.69,502.23,4750.7
2370.79,1591.9,900.41,1767.62,489.2,4552.42
2832.23,1644.05,887.26,1759.61,490.06,4470.29
2735.2,1668.26,857.85,1792.49,510.11,4491.86
2603.67,1639.8,799.9,1694.19,496.3,4230.35
2796.23,1678.88,861.55,1800.52,513.58,4529.24
2717.6,1640.73,850.2,1820.76,509.82,4714.37
2654.26,1585.83,857.5,1908.83,502.57,4968.19
1957.47,1651.42,916.72,1860.21,522.91,4511.52
1906.76,1525.18,965.44,1611.39,504.82,4118.24
2052.09,1684.6,1109.98,1732.32,558.63,4644.27
2190.79,1582.28,1143.5,1633.76,508.08,4371.16
2357.67,1664.67,1047.47,1729.78,567.32,4624.31
2439.32,1591.12,992.76,1569.45,540.9,4203.55
2521.9,1772.54,1056.67,1625.82,554.46,4284.12
2467.75,1731.95,1062.4,1612.52,572.75,4186.02
2380.25,1709.51,982.82,1493.33,542.19,3876.44
2561.89,1749.3,1016.44,1601.3,556.98,4175.08
2456.2,1665.63,1023.21,1630.64,548.32,4302.4
2478.87,1698.25,1085.24,1705.01,547.13,4479.17
2337.03,1702.12,1073.96,1734.13,548.37,4142.57
2459.3,1604.7,938.09,1569.24,531.25,3834.03
2411.66,1675.09,1070.71,1687.06,590.44,4245.63
2823.35,1627.44,1045.68,1606.73,528.06,4119.44
3155.81,1705.94,1069.2,1670.49,574.75,4271.01
2814.94,1680.09,1018.1,1516.51,553.63,3904.76
3034.61,1780.79,1030.16,1558.85,575.65,4013.57
2808.77,1812.6,1013.58,1532.87,575.38,3963.93
3145.07,1812.45,988.88,1501.09,559.14,3846.65
3199.73,1810.24,1019.71,1553.07,571.17,3975.45
2793.0,1712.87,985.47,1558.3,556.09,4022.21
3153.31,1679.02,1058.56,1705.75,565.01,4442.9
3053.04,1661.08,994.3,1677.57,548.17,4584.4
3120.22,1619.41,922.62,1552.38,520.21,4312.25
3180.63,1857.55,1000.04,1679.86,594.63,4695.88
2970.0,1707.48,1069.3,1608.47,521.56,4578.69
2758.11,1787.04,999.17,1655.15,570.51,4688.74
3059.47,1781.57,947.5,1577.54,545.33,4455.24
2903.39,1726.46,949.32,1599.52,561.12,4562.78
2756.77,1546.94,945.4,1587.09,537.42,4516.81
2901.01,1645.82,903.73,1509.88,507.76,4270.98
2906.86,1622.69,950.57,1587.53,511.89,4512.18
3058.28,1645.7,954.59,1611.12,511.26,4604.77
3557.25,1689.35,1026.16,1762.0,525.48,5043.6
3319.36,1651.13,1925.87,1366.75,509.32,5047.27
3194.44,1652.2,1852.34,1346.15,499.67,4988.42
2930.8,1775.3,1993.51,1406.73,549.52,5260.33
2674.98,1672.23,1891.55,1306.38,478.05,5047.25
3007.53,1788.85,1942.18,1369.6,518.2,5204.13
2852.36,1708.8,1811.35,1309.17,485.94,4889.38
2969.33,1740.97,1782.34,1292.91,482.04,4874.38
2945.37,1778.44,1791.37,1331.21,489.76,5019.98
2690.72,1736.28,1707.48,1284.57,466.28,4760.98
2836.62,1714.93,1707.03,1277.32,474.21,4752.54
2841.23,1749.34,1822.75,1346.38,462.63,5057.71
2804.3,1749.34,1965.08,1442.45,508.47,5403.9
3061.41,1665.73,1475.19,1253.59,439.42,5626.37
3150.02,1582.64,1421.1,1207.01,419.83,5447.02
3427.88,1767.84,1605.17,1332.5,476.22,6118.52
3201.39,1622.66,1434.87,1199.46,404.29,5592.67
2812.19,1794.39,1494.9,1279.68,444.17,5875.06
3335.94,1682.22,1465.03,1240.19,425.62,5756.9
2962.11,1720.75,1417.01,1220.42,431.96,5597.31
3099.06,1763.39,1423.33,1249.99,440.17,5669.84
3096.98,1720.52,1384.8,1212.17,424.55,5512.61
3121.38,1765.4,1360.34,1199.46,409.64,5474.73
3050.97,1725.48,1438.33,1261.68,420.78,5687.19
2846.79,1737.84,1530.58,1339.4,420.57,6117.8
4002.95,1757.34,1379.69,1380.35,406.04,6004.22
3266.97,1639.86,1296.23,1295.63,387.88,5736.24
4201.17,1781.79,1434.6,1420.24,430.13,6357.26
3288.22,1701.62,1312.19,1310.4,363.15,5928.33
2917.91,1768.93,1338.04,1340.24,405.34,5943.51
3733.36,1741.64,1278.76,1291.31,395.05,5762.94
3676.37,1781.25,1260.25,1275.88,388.96,5641.97
3653.56,1798.84,1303.04,1326.19,396.22,5799.87
3588.06,1660.42,1217.79,1234.38,369.8,5360.33
3399.88,1778.82,1275.06,1297.59,377.77,5711.94
3086.17,1747.9,1315.45,1332.73,376.03,5926.23
2969.53,1698.33,1394.76,1397.2,369.17,6329.03
2838.04,1755.66,1334.94,1394.24,357.91,6247.87
2430.82,1613.79,1224.7,1276.32,338.77,5780.31
3176.64,1766.32,1360.93,1398.93,382.08,6424.86
3196.88,1673.95,1280.61,1314.04,342.02,6092.0
2969.57,1733.96,1308.87,1362.36,365.74,6208.97
2755.55,1673.68,1241.61,1295.2,343.37,5937.6
3090.99,1727.71,1268.61,1337.44,345.99,6039.26
3231.29,1767.2,1238.12,1323.63,345.23,5914.75
2904.95,1707.48,1156.44,1251.68,314.9,5544.99
2871.72,1619.14,1209.86,1321.54,334.43,6018.19
2816.45,1577.97,1225.32,1335.52,323.27,6059.41
2810.59,1625.64,1252.47,1373.58,320.76,6289.01
3384.66,1712.73,1058.64,1186.68,318.68,6259.42
3056.5,1559.44,986.29,1114.27,300.43,5887.56
2922.97,1674.01,1028.69,1145.39,285.88,6091.05
2906.53,1429.78,863.98,1001.73,186.83,5186.49
3087.22,1427.91,976.97,1073.23,211.87,5777.98
3036.49,1382.55,945.84,1071.4,229.87,5722.02
3063.03,1451.49,1013.12,1122.97,165.12,6102.24
3129.18,1493.41,1016.23,1120.96,260.16,5980.5
3491.64,1498.01,976.77,1100.65,250.56,5920.29
3555.88,1584.11,952.36,1098.37,246.52,5680.79
